videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0409_config][QP48]_EVCA_540,2.2543187,1.833832,2.25047,1.8324789,2.2484424,1.8327051,2.245436,1.8310604,2.2449527,1.8299166,70.64973,41.00101,70.7783,40.957397,70.32146,40.5285,70.48484,40.503098,69.82507,40.178337,0.0,67.30863,67.521095,67.41335,67.16479,66.92205,67.2628,67.13267,66.806564,66.86594,0.0,0.0,25.144423,10.646717,29.083874,10.888799,28.971722,11.0707655,29.130499,11.535548
[RA][test0409_config][QP48]_VCA_540,2.2543187,1.833832,2.25047,1.8324789,2.2484424,1.8327051,2.245436,1.8310604,2.2449527,1.8299166,70.64973,41.00101,70.7783,40.957397,70.32146,40.5285,70.48484,40.503098,69.82507,40.178337,0.0,43.761425,44.08132,44.15822,44.042156,43.95658,44.471428,44.21096,44.295277,44.513233,0.0,0.0,1.4933151,0.80263495,1.8298798,0.84033406,1.8035574,1.0371947,2.003407,1.0325826
[RA][test0409_config][QP48]_SITI_540,82.209274,62.527977,82.268684,62.6248,81.27432,62.259724,81.842285,62.17908,80.800476,61.537354,0.0,90.02572,90.06009,90.04788,90.09969,90.12209,90.20372,90.210236,90.3697,90.34262,0.0,0.0,22.135298,11.474169,23.331799,11.425084,23.622658,11.583913,24.03062,11.803591
[RA][test0479_config][QP26]_EVCA_540,2.1583853,2.531039,2.1581879,2.5333235,2.1554792,2.537087,2.1560092,2.5411575,2.1586595,2.5408006,139.78786,104.21085,140.1456,104.29333,139.73436,104.07139,140.11142,104.59624,139.96848,104.49015,0.0,115.49334,115.83431,115.887505,115.53555,115.42874,115.781,115.73938,115.71434,115.93586,0.0,0.0,83.326645,53.942726,80.096085,52.867847,78.819046,53.528248,86.77868,52.692474
[RA][test0479_config][QP26]_VCA_540,2.1583853,2.531039,2.1581879,2.5333235,2.1554792,2.537087,2.1560092,2.5411575,2.1586595,2.5408006,139.78786,104.21085,140.1456,104.29333,139.73436,104.07139,140.11142,104.59624,139.96848,104.49015,0.0,41.81814,42.088448,42.25272,41.909424,42.08642,42.386787,42.019695,41.67643,41.864017,0.0,0.0,1.2693588,1.4572539,1.3564502,1.3098434,1.3440561,1.3759481,1.464464,1.1036409
[RA][test0479_config][QP26]_SITI_540,146.28499,137.33153,146.27347,137.57957,146.08765,137.14575,146.65741,137.7766,146.62956,137.30888,0.0,80.50917,80.49727,80.39523,80.46061,80.429405,80.508095,80.367874,80.48547,80.53506,0.0,0.0,44.328793,37.98047,41.765896,38.282978,40.61381,38.902996,47.483105,40.325527
[RA][test0436_config][QP34]_EVCA_540,1.8687954,1.8195786,1.8688664,1.8197103,1.8683909,1.8198253,1.8686954,1.8208668,1.869527,1.8188745,84.511185,88.30684,84.48783,88.23489,84.340805,88.12684,84.487625,88.283966,84.51835,88.16794,0.0,86.05618,86.07779,86.05227,86.01327,86.010056,86.05879,86.02707,85.93893,85.95146,0.0,0.0,4.0801325,15.394031,8.595686,19.81992,8.489284,19.544302,8.541956,19.412561
[RA][test0436_config][QP34]_VCA_540,1.8687954,1.8195786,1.8688664,1.8197103,1.8683909,1.8198253,1.8686954,1.8208668,1.869527,1.8188745,84.511185,88.30684,84.48783,88.23489,84.340805,88.12684,84.487625,88.283966,84.51835,88.16794,0.0,44.2136,44.2199,44.162346,44.160328,44.140926,44.110104,44.180233,44.09255,44.05748,0.0,0.0,0.089949034,0.2954664,0.2510042,0.5039489,0.22432345,0.5272754,0.29465327,0.587292
[RA][test0436_config][QP34]_SITI_540,102.97772,119.89285,102.98056,119.89847,102.84279,119.83451,103.021576,119.94375,102.987625,119.792984,0.0,75.95927,75.95754,75.95647,75.95626,75.98323,76.000084,75.99252,75.97868,75.98312,0.0,0.0,3.5702283,9.793113,5.2054715,12.48177,5.2241006,12.084917,5.0904446,11.709572
[RA][test0397_config][QP48]_EVCA_540,2.0641644,2.351734,2.0652158,2.3503125,2.064132,2.3479593,2.0644264,2.3506215,2.063588,2.3549364,110.95247,93.02093,111.285645,92.97359,110.99152,92.260155,111.36243,93.45074,111.29814,92.257614,0.0,95.66849,95.6541,95.51024,95.35497,95.06395,95.25533,95.38923,95.208725,95.30724,0.0,0.0,58.226818,43.63192,62.399303,44.714935,62.09482,44.800846,62.2083,45.611713
[RA][test0397_config][QP48]_VCA_540,2.0641644,2.351734,2.0652158,2.3503125,2.064132,2.3479593,2.0644264,2.3506215,2.063588,2.3549364,110.95247,93.02093,111.285645,92.97359,110.99152,92.260155,111.36243,93.45074,111.29814,92.257614,0.0,32.543842,32.682835,32.62746,32.173866,32.1446,32.57818,32.332447,32.135334,32.60997,0.0,0.0,1.4593602,2.1170666,1.4549212,1.9837034,1.329621,2.0709398,1.426531,2.5498614
[RA][test0397_config][QP48]_SITI_540,129.26102,130.82048,129.49283,130.86124,129.10776,128.7234,129.44037,131.1321,129.10477,129.14201,0.0,76.59217,76.61446,76.52961,76.46416,76.55096,76.60548,76.65225,76.60263,76.62424,0.0,0.0,35.199986,32.092365,37.102047,30.886896,36.91041,30.540382,36.880486,30.972143
[RA][test0272_config][QP28]_EVCA_540,2.0489643,2.3708425,2.0492997,2.3986554,2.0545285,2.3960154,2.0500538,2.3931131,2.0344102,2.3771157,116.56169,71.47221,115.56644,68.46848,116.121544,68.11735,117.354996,69.51665,117.56483,68.85312,0.0,98.33132,97.504265,97.61595,98.13067,98.24703,99.58636,99.12086,99.55052,99.82961,0.0,0.0,81.24977,42.721676,80.58876,40.078396,81.16579,41.893105,80.69158,40.980846
