videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0284_config][QP30]_VCA_360,4.098836,5.6284413,4.0863314,5.642525,4.0867195,5.6478505,4.098992,5.6425667,4.0959945,5.64274,129.22104,108.90957,129.10672,108.51563,129.0283,109.18768,129.80865,108.93081,129.51053,108.63404,0.0,39.578136,39.564526,40.706387,40.29684,40.893143,40.56672,40.52066,40.68037,40.942062,0.0,0.0,1.9102014,2.2836127,2.1612716,2.2882957,2.1485837,1.8379239,2.1428244,1.8661654
[RA][test0284_config][QP30]_SITI_360,145.31667,140.36606,145.08398,140.98798,144.99649,141.58319,145.1368,141.25447,144.73268,141.51068,0.0,82.21277,81.878105,81.97663,81.83578,82.09285,82.20575,82.243385,81.87746,81.8382,0.0,0.0,59.22728,44.243317,58.24838,44.30428,57.44504,43.4024,57.694702,44.205875
[RA][test0338_config][QP26]_EVCA_360,3.3619275,4.1554346,3.364789,4.1554346,3.3651361,4.1554427,3.3648245,4.155434,3.3706489,4.155919,23.586758,53.52497,23.596071,53.52497,23.603193,53.52497,23.602566,53.524548,23.670446,53.55206,0.0,48.316803,48.310307,48.310307,48.311573,48.31152,48.309013,48.308853,48.310825,48.327957,0.0,0.0,0.12940943,0.0,0.08820436,0.0038065275,0.08630138,0.0061123916,0.5990963,0.5288948
[RA][test0338_config][QP26]_VCA_360,3.3619275,4.1554346,3.364789,4.1554346,3.3651361,4.1554427,3.3648245,4.155434,3.3706489,4.155919,23.586758,53.52497,23.596071,53.52497,23.603193,53.52497,23.602566,53.524548,23.670446,53.55206,0.0,38.721085,38.70753,38.70753,38.70374,38.703747,38.703793,38.703823,38.685875,38.693172,0.0,0.0,0.019710915,0.0,0.006701231,5.07491e-06,0.0019764218,0.00039332252,0.060776558,0.02464657
[RA][test0338_config][QP26]_SITI_360,22.246275,106.675064,22.262466,106.675064,22.266348,106.67509,22.26825,106.674614,22.291872,106.75077,0.0,68.783356,68.74419,68.74419,68.74381,68.74381,68.7451,68.74505,68.75077,68.74862,0.0,0.0,0.2147336,0.0,0.072420895,0.010824709,0.0692833,0.011047896,0.29366177,0.80266625
[RA][test0350_config][QP30]_EVCA_360,4.4587,4.1042624,4.4586077,4.088057,4.469414,4.079087,4.4596996,4.071072,4.457404,4.0589337,127.93617,77.713005,127.83078,77.37578,127.70774,76.232864,128.26651,77.58991,128.11284,76.53555,0.0,104.632675,104.73372,104.68386,104.539856,104.938255,105.19049,105.23027,105.27943,105.4017,0.0,0.0,68.39056,36.211987,69.71082,33.97049,69.701965,34.171783,70.06243,34.119774
[RA][test0350_config][QP30]_VCA_360,4.4587,4.1042624,4.4586077,4.088057,4.469414,4.079087,4.4596996,4.071072,4.457404,4.0589337,127.93617,77.713005,127.83078,77.37578,127.70774,76.232864,128.26651,77.58991,128.11284,76.53555,0.0,53.73057,53.856895,54.10012,53.71758,54.764423,54.933502,53.816696,53.779884,54.699413,0.0,0.0,1.5353062,2.106902,1.4897536,2.3901253,1.7156019,2.5264952,1.4466403,2.3848536
[RA][test0350_config][QP30]_SITI_360,141.77939,128.39491,141.60349,127.75236,142.08734,127.57859,142.20712,129.14194,142.38786,127.8497,0.0,72.46879,72.233665,72.216354,72.39242,72.55106,72.58973,72.78292,72.794044,72.77883,0.0,0.0,39.77016,28.578522,40.696735,27.6821,40.67591,27.84535,40.957844,27.836573
[RA][test0408_config][QP36]_EVCA_360,4.796327,5.2486677,4.7999654,5.242635,4.8013635,5.247262,4.801948,5.247648,4.802121,5.2490954,42.29149,95.51333,42.142662,95.423935,42.235184,95.1748,42.21321,95.22645,42.29351,95.25113,0.0,95.952805,95.879944,95.74916,95.840294,95.74972,95.70751,95.71858,95.75729,95.74966,0.0,0.0,10.698802,28.87349,10.495828,30.35932,11.077956,31.070469,10.387984,30.614931
[RA][test0408_config][QP36]_VCA_360,4.796327,5.2486677,4.7999654,5.242635,4.8013635,5.247262,4.801948,5.247648,4.802121,5.2490954,42.29149,95.51333,42.142662,95.423935,42.235184,95.1748,42.21321,95.22645,42.29351,95.25113,0.0,84.4335,84.39973,84.31665,84.39219,84.14833,84.10083,84.063484,84.09195,84.12092,0.0,0.0,0.17667583,0.4901498,0.16064836,0.4813197,0.1549236,0.4713678,0.1560837,0.37148973
[RA][test0408_config][QP36]_SITI_360,79.94718,135.44456,79.42234,135.51288,79.5102,134.89911,79.68611,135.4254,79.824905,135.89157,0.0,53.087086,53.06177,53.038002,53.01439,53.03715,53.035614,53.05966,53.13006,53.169548,0.0,0.0,10.141025,18.386005,10.223209,19.095875,10.654034,19.398727,10.2894945,18.80809
[RA][test0276_config][QP42]_EVCA_360,4.7466335,4.471199,4.7461743,4.4773827,4.7604275,4.478042,4.777879,4.4753513,4.7394505,4.455817,106.36042,118.71211,106.58821,118.508644,106.47694,118.52863,105.97047,118.32742,105.76893,118.692566,0.0,108.96578,109.136986,109.21036,108.89959,108.944,108.56474,108.50988,108.482605,108.4804,0.0,0.0,30.929312,9.243945,23.25715,7.1426687,22.317383,6.9946036,24.345705,9.750541
